links,title,description,content,class
https://tuoitre.vn/diem-tin-sang-9-11-ronaldo-chan-thuong-mat-ca-chan-medvedev-vo-dich-paris-masters-20201109035711197.htm,"điểm tin sáng 9-11: ronaldo chấn thương mắt cá chân, medvedev vô địch paris masters",tto - hlv andrea pirlo (juventus) xác nhận tiền đạo cristiano ronaldo bị chấn thương mắt cá chân sau trận juventus hòa lazio 1-1 và tay vợt nga daniil medvedev vô địch paris masters. đó là 2 trong số những thông tin thể thao đáng chú ý sáng 9-11.,ronaldo chấn_thương mắt_cá chântrong trận juventus hòa_lazio 1 1 ronaldo ghi_bàn thắng tỉ_số phút 15 tiền_đạo đau rời sân phút 76 chẩn_đoán ban_đầu bác_sĩ ronaldo chấn_thương mắt_cá chân nghỉ đấu chờ kiểm_tra hlv andrea pirlo lo_lắng báo_chí trận đấu ronaldo cầu_thủ chủ_chốt mà_còn đội_tuyển bồ_đào nha may chấn_thương mắt_cá chân ronaldo trở_lại thi_đấu cách_ly nhiễm covid 19 hâm_mộ lo_lắng chấn_thương tiền_đạo bồ_đào nha ngoai bối_cảnh juventus chật_vật medvedev đánh_bại zverev vô_địch paris masters tay_vợt 24 tuôi nga daniil medvedev xuất_sắc đánh_bại đối_thủ đức alexander zverev 2 1 5 7 6 4 6 1 trận chung_kết paris masters diễn rạng 9 11 chiến_thắng giúp medvedev danh_hiệu atp 8 sự_nghiệp báo_chí chiến_thắng ấn_tượng medvedev giải đấu phong_độ trận chung_kết tôiđã phàn_nàn vợ ôi trời dở cuôi chiến_thắng thần_đồng ansu fati phẫu_thuật hôm_nay 9 11 tiền_đạo 18 tuôi ansu fati barcelona tiến_hành phẫu_thuật đấu gối chiều 9 11 bác_sĩ nổi_tiếng tây ban nha ramon cugat phụ_trách ca_mổ dự_đoán ban_đầu ansu fati rời sân_cỏ 3 5 hung barcelona đội_tuyển tây ban nha ansu fati ấn_tượng màu áo barcelona lẫn đội_tuyển tây ban nha ngôi_sao 18 tuôi chờ_đợi thay_thế messi sắm_vai thủ_lĩnh barcelona tương_lai,thể thao
https://tuoitre.vn/xem-ibrahimovic-da-phat-den-do-te-va-chuoc-toi-phut-90-3-20201109052147399.htm,xem ibrahimovic đá phạt đền 'dở tệ' và 'chuộc tội' phút 90+3,"tto - tiền đạo ibrahimovic đã sút hỏng phạt đền phút 65 nhưng sau đó đã ""đoai công chuộc tội"" với pha đánh đầu ghi bàn phút 90+3 giúp ac milan cầm hòa hellas verona 2-2 rạng sáng 9-11 ở vòng 7 giải vô địch ý (serie a).",ac milan thua trận serie a mùa tiền_đạo 39 tuôi ibrahimovic phong_độ cực dẫn_đầu danh_sách vua phá_lưới 7 bàn thắng cộng ưu_thế sân_nhà giuseppe meazza ac milan nhập_cuộc khí_thế hừng_hực tấn_công ồ_ạt khung_thành thủ_môn marco silvestri hellas verona phút 6 ac milan giội gáo nước_lạnh antonin barak đệm_bóng cận thành tỉ_số 1 0 đội hellas verona phút 19 trung_vệ davide calabria ac milan tình_huống cản_phá pha dứt_điểm đối_phương bóng phản lưới giúp hellas verona nhân đôi cách_biệt 2 0 phút 27 trung_vệ giangiacomo magnani hellas verona tình_huống đốt lưới giúp ac milan rút ngắn tỉ_số 1 2 phút màn tra_tấn dữ_dội ac milan đội chân_sút ac milan sút bóng chính_xác thường_xuyên đi trời phút 65 ac milan hưởng đá phạt_đền ibrahimovic lãnh trọng_trách chân sút thụy điển tung cú sút cực_mạnh bóng_bay thẳng cung_trăng lỡ vàng mãi phút 90 3 đường chuyền cánh brahim diaz tiền_đạo 39 tuôi ibrahimovic bật đánh_đầu ghi_bàn gỡ hòa 2 2 ac milan kết_quả giúp ac milan duy_trì chuôi bất bại serie a đầu_bảng 17 7 vòng đấu ibrahimovic dẫn_đầu danh_sách ghi_bàn 8 pha lập công,thể thao
https://tuoitre.vn/can-cong-khai-gia-cach-ly-tu-nguyen-20201108211043861.htm,cần công khai giá cách ly tự nguyện,"tto - giữa tuần trước, bộ y tế công bố ghi nhận bệnh nhân 1.203, là chuyên gia người israel đang cách ly tự nguyện tại một khách sạn ở quận hoàn kiếm, hà nội thì chiều cùng ngày có 2 nhân viên khách sạn phải cách ly tập trung...",hoàng đức_hạnh phó giám_đốc sở y_tế hà_nội nhân_viên khách_sạn vai_trò nhân_viên y_tế cách_ly tuân_thủ bảo_hộ lao_động hai nhân_viên khách_sạn tuân_thủ bảo_hộ lao_động tiếp_xúc điện thoai giúp điện thoai đổi_tiền giúp tuân_thủ quy_định tiếp_xúc khách_sạn cách_ly quy_định cứng khách_sạn giá thấptại hà nội hiện 15 khách_sạn cho_phép cách_ly tự_nguyện 4 khách_sạn 4 5 3 trở khách_sạn 3 trở_xuống người_dân nhu_cầu cách_ly tự_nguyện lựa_chọn 3 4 triệu đồng đợt cách_ly 14 chịu_đựng chi_phí chừng 1 triệungườingày dễ_chịu hạnh trang chính_thức cơ_quan_chức_năng niêm_yết danh_sách khách_sạn cách_ly tự_nguyện hà_nội niêm_yết_giá công_khai nhập_cảnh lựa_chọn cách_ly tự_nguyện giá phòng cách_ly giá cách_ly đặc_thù cách_ly phòng_bệnh khách_sạn khách_sạn lựa_chọn nhu_cầu khả_năng tài_chính hạnh giá công_khai nguyên_tắc công_khai giá nhu_cầu lớntheo hà đức chánh văn_phòng y_tế trang antoancovid ứng_dụng lựa_chọn phòng cách_ly lựa_chọn giá cách_ly tự_nguyện hướng_dẫn quy_trình nhập_cảnh chuẩn đức lý_thuyết chuyên_gia_khách ngoai khai tờ_khai y_tế tích_hợp kết_quả xét_nghiệm covid 19 âm_tính visa mua vé máy_bay lựa_chọn địa_điểm cách_ly máy_bay hạ_cánh trang antoancovid niêm_yết danh_sách khách_sạn phép cách_ly giá trang antoancovid hiện xây_dựng giá khách_sạn giá xe tìm_kiếm nhập_cảnh đường_bộ đường_thủy quản_lý nhập_cảnh đường_hàng_không dịch covid 19 kéo_dài 10 tình_hình căng_thẳng thế_giới 50 triệu mắc 1 2 triệu ca tử_vong quốc_gia đóng cửa mãi nhu_cầu việt nam chuyên_gia du_học_sinh lao_động chuyên_gia đối_tác quốc_tế nhu_cầu cách_ly tự_nguyện khách_sạn phép bay thương_mại trở_lại phó_thủ_tướng phạm bình_minh tỉnh_thành hà nội tp hcm cần_thơ mở_rộng khu cách_ly tự_nguyện khách_sạn mở_rộng kèm minh_bạch giá cách_ly bữa khu cách_ly tự_nguyện thu giá tương_đương bữa bình_dân tiền xe bất hợp_lý minh_bạch giá cạnh_tranh lựa_chọn cách_ly tự_nguyện đỡ nhà_nước lo gánh cách_ly vai_trò điều_phối cơ_quan_chức_năng giá phòng cách_ly an_toàn,sức khỏe
https://tuoitre.vn/tuan-nay-quoc-hoi-mien-nhiem-bo-truong-chu-ngoc-anh-20201108121756813.htm,"tuần này, quốc hội miễn nhiệm bộ trưởng chu ngọc anh","tto - trong tuần họp này (từ ngày 9 đến 13-11), quốc hội sẽ làm các thủ tục phê chuẩn việc miễn nhiệm chức vụ bộ trưởng bộ khoa học và công nghệ đối với ông chu ngọc anh và thống đốc ngân hàng nhà nước việt nam đối với ông lê minh hưng.",chương_trình kỳ họp 11 11 quốc_hội thủ_tục phê_chuẩn miễn_nhiệm chức_vụ bộ_trưởng khoa_học công_nghệ chu ngọc thống_đốc ngân_hàng nhà_nước việt nam lê_minh hưng hai thẩm_quyền điều_động phân_công công_tác_nhân tuần quốc_hội phê_chuẩn bổ_nhiệm nhân_sự thành_viên chính_phủ nhân_sự thẩm_phán tòa_án nhân_dân_tối_cao tuần họp rưỡi 9 10 11 quốc_hội phiên chất_vấn trả_lời chất_vấn thành_viên chính_phủ phát_triển kinh_tế văn_hóa xã_hội quốc_phòng an_ninh buôi chất_vấn truyền_hình phát_thanh quốc_hội thảo_luận tổ dự_thảo văn_kiện trình đại_hội đại_biểu toàn_quốc xiii đảng dự_án luật giao_thông đường_bộ sửa_đổi bảo_đảm trật_tự an_toàn giao_thông đường lực_lượng tham_gia bảo_vệ an_ninh trật_tự cơ_sở quốc_hội biểu_quyết thông_qua nghị_quyết kế_hoạch phát_triển kinh_tế xã_hội dự_toán ngân_sách nhà_nước phân_bổ ngân_sách trung_ương 2021 đồng_thời_biểu_quyết thông_qua dự_án luật luật sửa_đổi bổ_sung luật vi_phạm hành_chính luật cư_trú sửa_đổi luật bảo_vệ môi_trường sửa_đổi luật lao_động việt nam đi làm_việc ngoai hợp_đồng sửa_đổi quốc_hội thảo_luận dự_thảo nghị_quyết tổ_chức chính_quyền đô_thị tp hcm 12 11,thời sự
https://tuoitre.vn/truyen-thong-my-da-dua-tin-nguoi-chien-thang-bao-gio-xac-nhan-chinh-thuc-20201108232111518.htm,"truyền thông mỹ đã đưa tin người chiến thắng, bao giờ xác nhận chính thức?","tto - các cơ quan truyền thông đã thông tin kết quả kiểm phiếu bầu ở bang pennsylvania cùng nevada, theo đó ông joe biden giành chiến thắng trong cuộc đua đầy gian khó.",mặc_dù truyền_thông mỹ đồng_loạt joe biden thắng_cử tổng_thống mỹ lãnh_đạo thế_giới gửi chúc_mừng cơ_quan dịch_vụ tổng_hợp mỹ gsa chính_phủ mỹ biden chiến_thắng khả_năng 12 biden tuyên_bố thắng rõ_ràng gsa thành_lập 1949 vai_trò cơ_bản cơ_quan hoạt_động hiệu_quả phối_hợp nhịp_nhàng cơ_quan liên_bang gsa trao nhiệm_vụ đường chính_quyền luật 1963 đứng đầu gsa quyết_định chiến_thắng xác_định nghĩa emily murphy giám_đốc gsa quyết_định tổng_thống vai_trò chủ_yếu xác_định kết_quả bầu_cử rõ_ràng kích_hoạt chuyển_giao quyền_lực gsa cung_cấp cần_thiết tổng_thống phó_tổng_thống đắc_cử mục_đích quốc_hội mỹ giao nhiệm_vụ bầu_cử gsa chậm_trễ chuyển_giao ảnh_hưởng lợi_ích nhân_dân mỹ bầu_cử điển_hình gsa quyết_định chuyển_giao quyền_lực hãng tin_tức tin_cậy tuyên_bố chiến_thắng thua chấp_nhận bầu_cử chỗ tổng_thống donald trump phiếu đại_cử_tri dự_đoán đa_số truyền_thông tuyên_bố kết_thúc chiến_đấu_pháp_lý tới_cùng tuyên_bố 7 11 phát_ngôn gsa cơ_quan chính_thức xác_nhận biden chiến_thắng rõ_ràng nhấn_mạnh tuân_thủ pháp_luật xác_định chắn chắn thắng biden gsa giải_phóng khoản tiền 9 9 triệu usd tiến_trình chuyển_giao quyền_lực mở_cửa cơ_quan liên_bang đội_ngũ chuyển_tiếp biden triển_khai kế_hoạch chuyển_tiếp tiêu_chí nêu luật chiến_thắng xác_định giám_đốc gsa đài cbs nêu lo_lắng trump cản_trở chuyển_giao quyền_lực sức_ép murphy bổ_nhiệm 2017 luật quyết_định dựa thực_chất chính_trị tờ politico áp_lực trắng gsa tờ phân_tích murphy an_toàn đợi 14 12 đại_cử_tri_đoàn họp bỏ_phiếu cản_trở nỗ_lực chuyển_giao quyền_lực biden trở_nên lộn_xộn bối_cảnh khủng_hoảng_kinh_tế sức_khỏe cộng_đồng đe_dọa mỹ chờ xác_nhận gsa chuyển_giao quyền_lực biden làm_việc bao_gồm cục điều_tra liên_bang mỹ fbi thẩm_tra lý_lịch bổ_nhiệm nội_các xác_nhận gsa cơ_quan liên_bang chuyển_giao quyền_lực hoạt_động bình_thường,thế giới
https://tuoitre.vn/real-thua-tham-vi-3-qua-phat-den-va-1-pha-dot-den-20201109045013556.htm,real thua thảm vì 3 quả phạt đền và 1 pha 'đốt đền',"tto - rạng sáng 9-11, real madrid (r.m) thảm bại 1-4 trước valencia trên sân estadio mestalla ở vòng 9 giải vô địch tây ban nha (la liga). trận đấu này, valencia được hưởng 3 quả phạt đền và hậu vệ raphael varane r.m) có tình huống đá phản lưới nhà.",mùa giải real madrid giành phạt_đền chức vô_địch la liga đóng_góp bàn thắng chấm 11 m sân estadio mestalla rạng vn real madrid nếm vị đắng_nghét chấm 11 m phút real madrid liên_tục tình_huống sóng_gió khung_thành thủ_môn jaume valencia phút 23 tiền_đạo pháp benzema tung cú sút đẹp ngoai vòng cấm đánh_bại thủ_môn jaume ghi_bàn tỉ_số 1 0 real madrid phút 30 hậu_vệ lucas vazquez r m bóng chạm vòng cấm valencia hưởng đá phạt_đền chấm 11 m carlos soler cú đá hai ghi_bàn giúp gỡ hòa 1 1 valencia phút 35 8 phút trung_vệ raphael varane tình_huống phá bóng bất_cẩn bóng phản lưới giúp valencia bàn thắng 2 1 liên_tiếp tình_huống lúng_túng hàng phòng_ngự nổi_tiếng real madrid phút 47 tiền_vệ hàn quốc kang in lee valencia tung cú sút ngoai vòng cấm bóng đật cột dọc phút 51 hậu_vệ marcelo phạm lỗi gomez vòng cấm valencia hưởng phạt_đền hai tiền_vệ carlos soler sút thành_công ghi_bàn nâng tỉ_số 3 1 đội chủ phút 61 var nổ valencia hưởng phạt_đền sergio ramos bóng chạm vòng cấm tiền_vệ carlos soler sút thành_công hoàn_thành hat trick phạt_đền giúp valencia ấn_định chiến_thắng 4 1 phút 63 kết_quả nguyên trận real madrid rơi 4 16 kém 4 đội dẫn_đầu real sociedad valencia vươn 9 11 barcelona,thể thao
https://tuoitre.vn/saka-dot-luoi-nha-mo-man-dem-tan-nat-cua-arsenal-o-emirates-20201109040013218.htm,saka 'đốt lưới nhà' mở màn đêm tan nát của arsenal ở emirates,"tto - cầu thủ trẻ tài năng bukayo saka đã ""đốt lưới nhà"" ở phút 25 mở màn trận thảm bại 0-3 của arsenal trước aston villa trên sân nhà emirates rạng sáng 9-11 ở vòng 8 giải ngoai hạng anh (premier league).",phong_độ 3 chiến_thắng liên_tiếp đấu_trường arsenal nhập_cuộc quyết_tâm tiếp aston villa sân_nhà emirates 45 giây mành lưới thủ_môn bernd leno arsenal rung cú sút chân trái căng vòng cấm tiền_đạo john muginn bàn thắng aston villa tồn_tại phút var nổ trọng_tài martin atkinson quyết_định hủy_bỏ bàn thắng lỗi việt_vị tiền_vệ ross barkley may_mắn thoát chết arsenal thức_tỉnh hàng phòng_ngự lỏng_lẻo trả_giá pha thủng_lưới phút 25 căng ngang matt targett tiền_vệ 19 tuôi bukayo saka lúng_túng phá bóng lưới giúp aston villa bàn thắng tỉ_số 1 0 thủng_lưới arsenal dồn tấn_công bóng 60 pha bóng xuyên thủng hàng phòng aston villa hàng thủ arsenal lỏng_lẻo thủ_môn bernd leno liên_tục cứu thua phút 72 douglas luiz pha chuyền bóng tuyệt_vời ross barkley một_mình băng vòng cấm arsenal căng ngang ollie watkins đánh đầu lưới trống ghi_bàn nâng tỉ_số 2 0 3 phút pha phản_công tiền_vệ jack grealish dốc bóng sân_nhà sát vòng cấm arsenal chuyền thuận tiền_đạo 24 tuôi ollie watkins dứt_điểm góc hạ gục thủ_môn bernd leno ấn_định chiến_thắng 3 0 đội aston villa trận thua arsenal rơi 11 12 aston villa vươn đứng 6 15,thể thao
https://tuoitre.vn/de-bruyne-da-hong-penalty-man-city-bi-liverpool-cam-chan-20201109012915016.htm,"de bruyne đá hỏng penalty, man city bị liverpool cầm chân","tto - khuya 8-11, tiền vệ kevin de bruyne đã đá hỏng một quả penalty, khiến manchester city bị liverpool cầm chân 1-1 trên sân etihad ở vòng 8 giải ngoai hạng anh (premier league).",thi_đấu sân liverpool nhập_cuộc quyết_tâm lối tấn_công đầu hlv juergen klopp áp_dụng hàng phòng_ngự man city phút 11 pha bóng cánh trái sadio mane cầm bóng đột_phá vòng cấm hậu_vệ kyle walker đốn ngã trọng_tài chấm 11 m mohamed salah dễ_dàng đánh_bại thủ_thành ederson chấm phạt_đền tỉ_số liverpool thủng_lưới man city dồn đội_hình tấn_công sức_ép sân liverpool phút 31 pha bóng cánh trái bóng chuyền de bruyne tiền_vệ bỉ đường chuyền thuận_lợi jesus xâm_nhập vòng cấm tung cú dứt_điểm hạ gục thủ_môn alisson quân_bình tỉ_số 1 1 man city hưng_phấn bàn gỡ man city đẩy đội_hình tấn_công pha vây_hãm liên_tiếp học_trò hlv pep guardiola phút 39 pha bóng cánh de bruyne đi bóng sát vòng cấm tạt đồng_đội hậu_vệ joseph gomez nỗ_lực cản_phá bóng chạm vòng cấm cầu_thủ man city phản_ứng quyết_liệt trọng_tài craig pawson dừng trận đấu var pha chiếu chậm trọng_tài xác_định gomez bóng chạm vòng cấm cầu_thủ man city hưởng penalty chấm phạt_đền tiền_vệ de bruyne thất_vọng dứt_điểm ngoai lỡ ghi_bàn 2 man city phút man city tấn_công jesus de bruyne dứt_điểm học_trò hlv pep guardiola kết_liễu đối_thủ sân đối_diện liverpool ghi_bàn thắng 2 tình_huống phản_công tiếc alexander arnold diogo jota tận_dụng tư_thế trống_trải man city hòa_liverpool 1 1 hòa trận man city xếp 11 12 đứng 3 17 tottenham kém đội đầu_bảng leicester city 1,thể thao
https://tuoitre.vn/ronaldo-lap-cong-juventus-van-danh-roi-thang-loi-phut-904-20201109002826045.htm,"ronaldo lập công, juventus vẫn đánh rơi thắng lợi phút 90+4",tto - trận cầu tâm điểm vòng 7 serie a tối 9-11 giữa lazio và juventus đã kết thúc với tỉ số 1-1.,ronaldo xuất_phát đội juventus covid 19 serie a lập_tức dấu_ấn 15 phút bàn tỉ_số cánh cuadrado tạt tầm khó_chịu bóng tầm kiểm_soát thủ_thành reina ronaldo dễ_dàng đệm_bóng ghi_bàn lưới trống bàn lazio cố_gắng ép sân bàn gỡ pha lao dứt_điểm hụt muriqi phút 21 phút lazio ép sân tung pha dứt_điểm chính_xác juventus đe_dọa khung_thành đối_phương ronaldo tâm_điểm chú_ý cú sút trúng xà_ngang phút 43 hiệp 2 thế_trận tương_tự duy_trì lazio dồn_ép juventus chờ thời_cơ phản_công hai đội liên_tục lỡ bối_cảnh ronaldo rời sân dấu_hiệu đau đầm già đợt bóng chú_ý đối_diện kiên_trì lazio cuôi đền_đáp pha tấn_công đội chủ bất_lợi số_lượng giúp bàn gỡ phút 90 4 joaquin correa đi bóng lắt_léo cánh trái rối_loạn hàng thủ juventus bóng chân filipe caicedo pha xoay dứt_điểm tinh_tế ghi_bàn pha bóng trận đấu khép hai đội rời sân tỉ_số 1 1 kết_quả juventus 13 dẫn_đầu ac milan,thể thao
https://tuoitre.vn/chay-o-chung-cu-cao-cap-park-hill-nghi-do-cuc-nong-may-dieu-hoa-20201109003933289.htm,"cháy ở chung cư cao cấp park hill, nghi do cục nóng máy điều hòa","tto - khoảng 22h20 khuya 8-11, đám cháy ở ban công một căn hộ trong tòa nhà chung cư cao cấp ở q. hai bà trưng, hà nội đã khiến nhiều cư dân sống trong khu đô thị nhanh chóng di chuyển xuống đất.",báo đêm muộn lực_lượng cảnh_sát phòng cháy chữa cháy tp hà nội 5 xe chữa_cháy chuyên_dụng thang_máy tiếp_cận hiện_trường đám cháy nhanh_chóng khống_chế an_ninh tòa hạnh vân cư_dân khu đô_thị nguyên_nhân ban_đầu vụ hỏa_hoạn cục nóng điều_hòa_phát cháy hiện lực_lượng cảnh_sát phòng cháy chữa cháy phối_hợp công_an q hai trưng chính_quyền địa_phương khắc_phục_vụ hỏa_hoạn điều_tra nguyên_nhân vụ cháy times city park hill khu đô_thị hà_nội hàng chục tòa chung_cư cao_cấp trung_tâm thương_mại trường_học bệnh_viện chùm ảnh ctv tuôi trẻ online ghi_nhận đêm,thời sự
